               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088654,            0.048211,            0.083709,            0.019906,             0.28395,            0.032779,            0.012142,            0.056041,            0.037844,            0.077236,              0.0712,              0.0032,              0.0032
                   1,            0.065652,            0.034152,            0.073531,             0.13988,             0.24053,              0.0978,            0.043238,            0.052807,            0.019608,            0.068462,            0.041479,           0.0064785,           0.0064785
                   2,            0.062157,            0.029937,            0.066554,              0.1862,             0.37594,             0.15626,            0.057132,            0.049473,             0.01893,            0.060615,            0.011735,           0.0097353,           0.0097353
                   3,            0.055547,             0.02922,            0.053704,             0.68161,             0.31175,              0.3386,             0.15986,            0.041707,            0.017688,             0.04739,            0.009901,            0.009901,            0.009901
                   4,            0.051167,             0.02781,            0.039583,             0.56639,             0.48929,             0.45794,             0.24308,            0.036133,            0.016266,            0.038721,            0.009901,            0.009901,            0.009901
                   5,            0.047964,            0.027133,             0.03042,             0.73485,             0.54273,             0.55488,             0.31176,            0.031486,            0.015939,            0.033399,            0.009868,            0.009868,            0.009868
                   6,             0.04615,            0.026228,             0.02555,             0.60855,             0.58636,              0.5244,             0.31493,            0.035516,            0.016244,            0.032226,            0.009835,            0.009835,            0.009835
                   7,            0.044745,            0.026478,            0.022927,              0.4732,             0.69711,             0.59158,             0.35802,            0.031931,            0.016014,            0.029406,            0.009802,            0.009802,            0.009802
                   8,            0.044268,            0.026252,            0.020718,             0.47146,             0.74999,             0.62078,             0.37199,            0.031271,            0.016088,            0.029044,            0.009769,            0.009769,            0.009769
                   9,            0.043318,             0.02626,            0.020108,             0.53733,              0.7664,             0.63294,             0.37357,            0.032751,            0.015838,            0.028713,            0.009736,            0.009736,            0.009736
                  10,            0.042393,            0.025181,            0.018772,             0.57572,             0.76563,             0.68402,             0.41787,            0.031687,             0.01573,            0.026904,            0.009703,            0.009703,            0.009703
                  11,            0.042612,            0.026334,            0.017663,             0.60132,             0.69981,             0.66197,             0.42081,            0.030589,            0.015829,            0.026369,             0.00967,             0.00967,             0.00967
                  12,            0.041655,            0.026422,            0.016871,             0.64891,             0.74208,             0.69924,             0.44529,            0.029638,            0.015771,            0.025077,            0.009637,            0.009637,            0.009637
                  13,            0.041339,            0.026243,            0.015918,             0.60645,             0.78408,             0.71405,             0.45926,            0.030765,            0.015509,            0.023334,            0.009604,            0.009604,            0.009604
                  14,            0.041581,            0.025938,            0.015342,              0.6747,             0.80953,             0.74808,             0.48955,            0.028836,            0.015489,            0.022188,            0.009571,            0.009571,            0.009571
                  15,            0.041343,            0.026647,            0.014941,             0.67548,              0.7828,             0.74593,             0.48452,            0.029121,            0.015876,            0.022544,            0.009538,            0.009538,            0.009538
