               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084848,            0.078192,            0.082965,            0.037514,              0.2622,               0.043,            0.014871,              0.0522,            0.027457,            0.075689,            0.070385,           0.0032906,           0.0032906
                   1,            0.065421,            0.074615,            0.074211,            0.066034,             0.29873,            0.073886,            0.032242,            0.046145,             0.02058,            0.068599,            0.040363,           0.0066021,           0.0066021
                   2,            0.060636,            0.070249,            0.070868,             0.21112,             0.29342,              0.1474,            0.066778,            0.043762,            0.019857,            0.064315,            0.010319,           0.0098915,           0.0098915
                   3,            0.057043,            0.072119,            0.065553,             0.24374,             0.35939,             0.25983,             0.12518,            0.037295,            0.019367,             0.05602,            0.009901,            0.009901,            0.009901
                   4,            0.054661,            0.067309,            0.059703,             0.57062,             0.37635,             0.38682,             0.21778,            0.035099,            0.019118,            0.047488,            0.009901,            0.009901,            0.009901
                   5,             0.05307,            0.068729,            0.055498,             0.69693,             0.42781,             0.44756,             0.23716,            0.035533,            0.018911,            0.041806,            0.009868,            0.009868,            0.009868
                   6,            0.052604,            0.068769,            0.052883,             0.56524,             0.48977,             0.47637,             0.23428,            0.038017,            0.019678,            0.040863,            0.009835,            0.009835,            0.009835
                   7,            0.051464,            0.067129,            0.050994,             0.63579,             0.55891,             0.53961,              0.3039,            0.034011,             0.01859,            0.036437,            0.009802,            0.009802,            0.009802
                   8,            0.051353,            0.068283,            0.049567,             0.67084,             0.55981,             0.56677,             0.31285,            0.033912,            0.018654,            0.034053,            0.009769,            0.009769,            0.009769
                   9,            0.050703,            0.067477,             0.04847,             0.41529,             0.66585,             0.55843,             0.32342,             0.03393,            0.018292,            0.033427,            0.009736,            0.009736,            0.009736
                  10,            0.050044,            0.067346,            0.047426,             0.44618,             0.69035,             0.56018,             0.34087,            0.032687,            0.018259,              0.0315,            0.009703,            0.009703,            0.009703
                  11,            0.049863,             0.06774,            0.046826,             0.49484,             0.70088,             0.59495,             0.36156,            0.031876,            0.017953,            0.032127,             0.00967,             0.00967,             0.00967
                  12,            0.049207,            0.067008,             0.04605,             0.51403,             0.72876,             0.63267,             0.35892,            0.034073,            0.018168,              0.0298,            0.009637,            0.009637,            0.009637
                  13,             0.04884,            0.066156,            0.045534,             0.47278,             0.73045,             0.61332,             0.37695,            0.031942,            0.018024,            0.029519,            0.009604,            0.009604,            0.009604
                  14,            0.048998,            0.066937,            0.044853,             0.51558,             0.76098,             0.62591,             0.38871,            0.031887,            0.017834,            0.028844,            0.009571,            0.009571,            0.009571
